time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
26.46,0.190324,0.310933,-0.086048,0.260651,-0.141036,-0.199823
26.48,0.19009,0.310755,-0.086487,0.260852,-0.140877,-0.199871
26.5,0.189891,0.310631,-0.086745,,,
26.52,0.189717,0.310605,-0.086897,0.261142,-0.140297,-0.200467
26.54,0.189552,0.31067,-0.0868039999999999,0.2612739999999999,-0.139979,-0.201016
26.56,0.189502,0.310721,-0.086768,0.261605,-0.139645,-0.201717
26.58,0.189493,0.310803,-0.086549,,,
26.6,0.189578,0.310873,-0.086473,,,
26.62,0.189725,0.3109909999999999,-0.086271,0.264781,-0.140851,-0.203115
26.64,0.189925,0.311078,-0.086137,0.265418,-0.141009,-0.203272
26.66,0.1900099999999999,0.311239,-0.085763,0.2657719999999999,-0.141037,-0.203399
26.68,0.189997,0.311228,-0.085997,0.266164,-0.141297,-0.203344
26.7,,,,0.266734,-0.141398,-0.2034109999999999
26.72,0.1898109999999999,0.311205,-0.08628,0.267374,-0.141499,-0.2034369999999999
26.74,0.189629,0.311209,-0.086353,0.268123,-0.141169,-0.203624
26.76,0.189406,0.31126,-0.086253,0.26894,-0.140496,-0.203749
26.78,0.189122,0.31128,-0.086373,,,
26.8,0.18888,0.311377,-0.086128,,,
26.82,0.188653,0.3114889999999999,-0.085888,0.270673,-0.139045,-0.204218
26.84,0.1884549999999999,0.311614,-0.085594,0.270856,-0.138879,-0.2042759999999999
26.86,,,,0.270978,-0.13862,-0.204246
26.88,0.188317,0.311761,-0.085235,0.271236,-0.138477,-0.2042
26.9,0.1883109999999999,0.311778,-0.085186,0.271517,-0.138352,-0.204102
26.92,0.188251,0.311781,-0.085148,0.2717,-0.138123,-0.204073
26.94,0.1882059999999999,0.311724,-0.085296,0.2717489999999999,-0.137853,-0.204028
26.96,,,,0.2717719999999999,-0.13752,-0.203969
26.98,0.187974,0.311561,-0.085658,,,
27.0,0.1877619999999999,0.311525,-0.085682,0.271425,-0.136644,-0.203834
27.02,0.187523,0.311514,-0.0856789999999999,,,
27.04,0.187203,0.3115679999999999,-0.085526,0.269598,-0.134607,-0.203416
27.06,0.186873,0.311621,-0.085346,0.267963,-0.132892,-0.203025
27.08,0.186531,0.31177,-0.08492,0.265988,-0.1307569999999999,-0.202427
27.1,0.186337,0.311849,-0.08461,0.263965,-0.128963,-0.201725
27.12,0.1862579999999999,0.311984,-0.084183,0.261748,-0.127371,-0.2010289999999999
27.14,0.186267,0.3120699999999999,-0.083948,0.259401,-0.125825,-0.200309
27.16,0.186372,0.312102,-0.083875,0.256907,-0.124275,-0.199777
27.18,0.186563,0.312007,-0.084088,0.254533,-0.122599,-0.199296
27.2,0.186748,0.311932,-0.084228,0.252241,-0.12088,-0.199054
27.22,0.186939,0.311829,-0.084509,,,
27.24,0.187101,0.311776,-0.084602,0.2494199999999999,-0.118416,-0.198432
27.26,,,,0.248377,-0.11752,-0.198007
27.28,,,,0.2474559999999999,-0.116744,-0.1975829999999999
27.3,0.18767,0.311763,-0.084407,0.2465719999999999,-0.116124,-0.197097
27.32,0.187817,0.311865,-0.084037,0.246011,-0.116018,-0.196728
27.34,0.1879289999999999,0.311934,-0.083774,0.245507,-0.116345,-0.196461
27.36,0.187722,0.311925,-0.083609,0.244842,-0.116548,-0.196271
27.38,0.187019,0.311907,-0.083573,0.243982,-0.116417,-0.196012
27.4,0.18577,0.311924,-0.083458,0.243253,-0.116229,-0.195673
27.42,0.184272,0.31195,-0.083289,0.2424329999999999,-0.116214,-0.195214
27.44,0.182649,0.312031,-0.0830809999999999,0.24183,-0.115906,-0.194747
27.46,0.181472,0.311949,-0.083143,0.2410659999999999,-0.11528,-0.1942819999999999
27.48,0.1807,0.311791,-0.0833909999999999,,,
27.5,0.1804049999999999,0.31156,-0.083844,0.239555,-0.114096,-0.193727
27.52,0.180733,0.311324,-0.084155,0.238836,-0.1137079999999999,-0.193857
27.54,0.1816279999999999,0.311113,-0.084526,0.2380449999999999,-0.113217,-0.19418
27.56,,,,0.237442,-0.113093,-0.1946109999999999
27.58,0.1842069999999999,0.310782,-0.085269,0.23686,-0.113368,-0.195063
27.6,0.185465,0.310809,-0.085451,0.236445,-0.113697,-0.195635
